id,상위법령ID,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명
P03645,005061,지방교육행정기관의 행정기구와 정원기준 등에 관한 규정,15,정원의 관리,① 교육감은 조직 간 균형 있고 합리적인 정원관리를 위하여 지방공무원의 종류별ㆍ직급별 정원책정기준을 해당 시ㆍ도의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,세종특별자치시교육감 소속 지방공무원 정원 조례
P01947,011331,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,어린이가 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,논산시 어린이 통학로 교통안전을 위한 조례
P07399,008606,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행규칙,17,포상금의 지급기준 등,"⑥ 심의위원회의 설치·운영에 관한 사항, 증거자료의 요건, 그 밖에 포상금의 지급 및 기준에 관하여 필요한 사항은 시·도 교육규칙으로 정한다.",교육규칙으로,위임자치법규,조례,자치법규,부산광역시 학원의 설립ㆍ운영 및 과외교습에 관한 조례 시행규칙
P05999,000851,평생교육법,21,읍ㆍ면ㆍ동 평생학습센터의 운영,② 제1항에 따른 읍·면·동 평생학습센터의 설치 또는 지정 및 운영에 관한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,인제군 평생교육진흥 조례
P06578,000889,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,고성군 공공급식 지원에 관한 조례
P04509,005238,초ㆍ중등교육법 시행령,67,중학교 입학 시기 등,"중학교 학생의 입학, 재취학 또는 편입학은 해당 학교의 교육과정 이수에 지장이 없는 범위에서 수시로 할 수 있다. 다만, 제77조제2항에 따라 시·도 조례로 정하는 지역에서의 편입학 시기는 교육감이 정할 수 있다.",조례로,위임자치법규,조례,자치법규,경기도교육감이 고등학교의 입학전형을 실시하는 지역에 관한 조례
P06547,000889,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,김제시 학교급식지원에 관한 조례
P04676,005238,초ㆍ중등교육법 시행령,84,후기학교의 신입생 선발 및 배정방법,"⑦제2항 본문에 따른 후기학교의 추첨ㆍ배정에 관하여 교육감의 자문에 응하게 하기 위하여 학교군별로 고등학교입학추첨관리위원회를 두며, 그 조직과 운영에 관한 사항은 시ㆍ도 교육규칙으로 정한다.",교육규칙으로,위임자치법규,조례,자치법규,울산광역시 고등학교 입학추첨관리위원회 규칙
P07295,000850,학원의 설립ㆍ운영 및 과외교습에 관한 법률,17,행정처분,④ 제1항부터 제3항까지에 따른 행정처분의 기준과 그 밖에 필요한 사항은 조례로 정한다.,조례로,위임자치법규,조례,자치법규,서울특별시교육청 학원의 설립ㆍ운영 및 과외교습에 관한 조례
P01277,014226,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,부산광역시 영도구 학교 밖 청소년 지원 조례
